,위도,경도,고도,지형유형,도로거리,토양 pH,전기전도도,y
197,35.588733,128.39425,24.24666786,평지,180.0,5.5,1.0,1
198,35.588733,128.39425,24.24666786,평지,180.0,5.5,1.0,1
199,35.51903,128.4789,31.19901657,평지,579.0,5.5,0.9,1
200,35.559313,128.49026,34.07165146,평지,73.0,5.5,0.9,1
201,35.575179,128.38967,18.26219749,평지,239.0,5.5,1.0,1
202,35.586967,128.48235,47.26273727,평지,102.0,5.6,0.8,1
203,35.577779,128.429,20.98599243,평지,200.0,5.6,0.8,1
204,35.549066,128.34141,19.51164246,평지,516.0,6.4,0.9,1
205,35.549066,128.34141,19.51164246,평지,516.0,6.4,0.9,1
206,35.521244,128.31051,120.9343872,산림,1717.0,6.4,0.9,1
207,35.616871,128.29246,104.5712509,산림,184.0,6.4,0.9,1
208,35.460792,128.65084,7.755224705,평지,358.0,5.9,1.4,1
209,35.413118,128.71667,71.92094421,산림,46.0,6.1,2.0,1
210,35.436751,128.73637,107.1546326,산림,467.0,5.9,1.3,1
211,35.443423,128.66714,44.77427292,평지,332.0,5.9,1.4,1
212,35.466544,128.53335,168.7027893,산림,261.0,5.8,1.9,1
213,35.483653,128.71967,41.25524139,평지,72.0,5.7,1.4,1
214,35.39933,128.54732,19.78462219,평지,88.0,5.8,1.2,1
215,35.429813,128.5786,88.86517334,산림,276.0,5.8,1.2,1
216,35.42313,128.54441,29.27095032,평지,65.0,5.7,0.9,1
217,35.44612,128.56666,98.36427307,산림,425.0,5.7,0.9,1
218,35.44612,128.56666,98.36427307,산림,425.0,5.7,0.9,1
219,35.466651,128.56241,175.7944031,산림,31.0,5.8,1.9,1
220,35.497048,128.58241,157.1775513,산림,569.0,5.9,1.4,1
221,35.497048,128.58241,157.1775513,산림,569.0,5.9,1.4,1
222,35.39933,128.54732,19.78462219,평지,88.0,5.8,1.2,1
223,35.127696,128.53201,11.89338207,평지,279.0,5.7,0.2,1
224,36.859813,129.05589,550.5928955,산림,423.0,5.9,0.6,1
225,36.796963,129.06453,514.5358276,산림,18.0,6.1,0.2,1
226,36.895871,128.14341,256.0741882,산림,471.0,6.4,0.1,1
227,36.895871,128.14341,256.0741882,산림,471.0,6.4,0.1,1
228,36.884675,128.155,310.9883118,산림,1006.0,6.4,0.1,1
229,36.884675,128.155,310.9883118,산림,1006.0,6.4,0.1,1
230,36.82032,126.23225,45.96895599,평지,636.0,6.1,0.6,1
231,36.83985,126.2408,34.33299637,평지,116.0,6.1,0.6,1
232,36.824095,126.24791,53.86554337,산림,438.0,6.1,0.6,1
233,36.824095,126.24791,53.86554337,산림,438.0,6.1,0.6,1
234,36.753513,128.43132,192.9743805,산림,25.0,6.5,0.2,1
